id,nombre,codigo_nif,localidad,trabajadores,roe,roa,valor_agregado,ingresos_explotacion_empleado,ingresos_explotacion,resultado_ejercicio,total_activo,valoracion,n_valoraciones,esta_trip,total_visits_similar,ratio_resenas_visitas,valoracion_ponderada,stem_zon_de_lectur,stem_curs_de_cocin,stem_solarium,stem_intang,stem_gimnasi,stem_enovisit,stem_piscin,stem_alquil,stem_hospedaj,stem_indic_geograf_proteg,stem_festival,stem_interior,stem_sombrill,stem_jardin,stem_decor,stem_lectur,stem_dop,stem_suit,stem_hotel,stem_huesp,stem_estanci,stem_comedor,stem_bibliotec,stem_masaj,stem_igp,stem_menus,stem_rehabilit,stem_curs,stem_play,stem_zon_comun
406,BODEGAS FINCA LA ESTACADA SL,B81878902,TARANCON,43,-18.126,-4.465,720.475749,94.158645,4048.82175,-738.23586,20707.24026,4.5,1133,1,12600,0.08992063492063491,0.003971756398940865,0,0,6,0,54,0,55,4,0,0,1,65,0,19,7,20,0,44,2970,4,71,0,0,279,0,10,0,7,0,1
521,"BODEGAS FRUTOS VILLAR, SL",B47004783,CIGALES,19,-4.092,-3.49,660.81685,160.280162,3045.32309,-216.78422,6107.39483,4.9,16,1,7100,0.0022535211267605635,0.30625,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,6,4,0,2,0,0,0,0,3,0,12,0,0
3315,BODEGAS CONCEJO DE OLLAURI SOCIEDAD LIMITADA.,B26412023,OLLAURI,1,-4.151,-4.066,6.64263,22.24652,22.24652,-5.351019,175.43258,5,8,1,393,0.020356234096692113,0.625,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,A DOBLAS MARTOS SL,B14533046,MORILES,6,5.693,1.141,148.02468,45.490086,272.94052,4.05156,698.79778,NA,NA,0,3200,NA,NA,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,2,0,0
358,"BODEGAS MARTINEZ LACUESTA, SA",A26000174,HARO,39,-1.76,-1.348,2063.84613,113.900837,4442.13268,-243.62853,20707.43452,4.6,235,1,NA,NA,0.01957446808510638,0,0,0,0,0,0,0,0,0,0,0,16,0,0,3,2,0,3,0,0,0,9,0,0,0,0,0,9,0,0
1829,BODEGAS ANTONIO CAÑAVERAS SL,B13276555,SANTA CRUZ DE MUDELA,4,45.077,1.125,81.33623,82.74842,330.99368,1.20989,165.81117,5,115,1,1800,0.06388888888888888,0.043478260869565216,0,0,0,0,0,0,0,0,0,132,0,5,0,0,2,65,0,1,231,1,0,0,0,0,167,0,0,4,0,0
1583,PARATO VINICOLA SL,B08473019,EL PLA DEL PENEDES,8,0.259,0.018,238.026419,58.20755,465.6604,0.29918,2166.33083,4.7,131,0,1900,0.06894736842105263,0.03587786259541985,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,18,0,0,4,0,0,0,0,0,0
924,BODEGAS NARANJO SL,B13218631,CARRION DE CALATRAVA,8,0.651,1.044,393.254509,179.129835,1433.03868,5.9154,4128.747,4.7,89,0,5700,0.015614035087719299,0.052808988764044947,0,0,0,0,0,0,0,0,0,3,2,4,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0
2833,BODEGA BALCONA SL,B30547038,BULLAS,2,0.915,0.902,22.27484,89.93294,70.00566,2.88449,421.50437,4.7,56,1,3500,0.016,0.08392857142857144,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,40,271,1,0,0,9,0,0,0,0,0,0,2,0,0
2211,BODEGA MARUCCIA SL.,B57505075,LLUCMAJOR,2,2.8,2.806,96.429509,96.830495,193.66099,28.198299,1444.40213,4.8,19,0,575,0.03304347826086956,0.25263157894736843,0,6,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,4,68,17,0,0,0,0,0,4,0,2,15,0
